Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0058,0.0015,0.0016,0.0013,0.0015,0.0019,0.0032
5000,0.0333,0.0082,0.0082,0.0091,0.0106,0.0106,0.0137
10000,0.0678,0.0163,0.0151,0.0145,0.019,0.0247,0.0278
50000,0.442,0.0851,0.1103,0.083,0.0916,0.1514,0.149
100000,0.983,0.1646,0.2406,0.1918,0.1918,0.3081,0.2808
500000,6.4466,0.8575,1.4984,1.2135,0.9623,1.8349,1.7299
1000000,14.5287,1.7052,3.516,2.6344,1.9526,4.0328,3.5937
