Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0038,0.0039,0.002,0.0018,0.0035,0.0026,0.0076
5000,0.0293,0.0168,0.009,0.0074,0.0162,0.0107,0.0397
10000,0.0604,0.0311,0.0163,0.0144,0.0316,0.0222,0.0797
50000,0.4147,0.1673,0.1298,0.1084,0.1871,0.1361,0.5671
100000,0.933,0.3373,0.2536,0.2037,0.351,0.309,0.8931
500000,5.8178,1.7432,1.4959,1.1748,1.6647,1.5813,4.5444
1000000,11.7422,3.4494,3.0847,2.4376,3.3749,3.4272,8.9493
