Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0052,0.0015,0.0014,0.0011,0.0016,0.002,0.0029
5000,0.0321,0.0083,0.0107,0.0067,0.0093,0.0119,0.0143
10000,0.073,0.0167,0.0165,0.0136,0.0186,0.0244,0.0283
50000,0.4561,0.0868,0.111,0.0864,0.1012,0.1738,0.1594
100000,1.0127,0.175,0.2442,0.1927,0.2,0.3151,0.2989
500000,6.5817,0.882,1.5676,1.245,1.023,1.8853,1.9212
1000000,14.9616,1.8228,3.6323,2.7133,2.0996,4.0822,3.4617
