Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0046,0.0046,0.0032,0.0023,0.0033,0.0027,0.0093
5000,0.0302,0.0161,0.0101,0.007,0.018,0.0116,0.0428
10000,0.0626,0.0349,0.0176,0.0148,0.0318,0.023,0.0819
50000,0.4214,0.175,0.1644,0.1156,0.1815,0.137,0.4481
100000,0.9006,0.3435,0.2788,0.2133,0.3562,0.264,0.7986
500000,5.5443,1.67,1.4283,1.1219,1.7313,1.5734,4.3526
1000000,12.0357,3.4424,3.1792,2.6316,3.6243,3.497,8.8872
