Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0081,0.0034,0.0018,0.0016,0.0027,0.0032,0.0054
5000,0.0368,0.0106,0.0067,0.0062,0.009,0.0118,0.0197
10000,0.0777,0.0226,0.0133,0.0127,0.0187,0.0238,0.0373
50000,0.4635,0.1211,0.0784,0.0713,0.1075,0.1288,0.2044
100000,1.0023,0.2638,0.1791,0.1447,0.2396,0.2631,0.6007
500000,6.2408,1.5807,1.1291,0.8132,1.5555,1.3817,2.5205
1000000,13.7272,3.4464,2.5053,1.625,3.352,2.8924,5.4809
