Liczebność zbioru,Czas wykonania dla Algorytm Grahama [s],Czas wykonania dla Algorytm Jarvisa [s],Czas wykonania dla Algorytm górnej i dolenj otoczki [s],Czas wykonania dla Algorytm przyrostowy [s],Czas wykonania dla Algorytm dziel i rządź [s],Czas wykonania dla Algorytm QuickHull [s],Czas wykonania dla Algorytm Chana [s]
1000,0.0034,0.0086,0.0014,0.0013,0.0025,0.0025,0.0114
5000,0.0255,0.0306,0.0086,0.008,0.0134,0.0148,0.0571
10000,0.0452,0.0725,0.0176,0.0149,0.0218,0.0286,0.1135
50000,0.3232,0.3266,0.1558,0.0975,0.1204,0.169,0.6312
100000,0.7655,0.9205,0.2649,0.2082,0.2653,0.3537,1.2814
500000,4.9033,6.5222,1.4896,1.1561,1.0058,1.9256,6.9629
1000000,10.6926,11.9253,3.1332,2.3661,2.2208,3.8421,12.746
